SITE_ID,atlas,graph_feature_type,feature,feature_engineering,model,train_accuracy,test_accuracy
YALE,aal,node_based,degree,original,LGBM,0.5444444444444445,0.4166666666666667
YALE,aal,node_based,degree,original,SVM,0.4527777777777778,0.3333333333333333
YALE,aal,node_based,degree,original,MLP,0.475,0.4166666666666667
YALE,aal,node_based,degree,mi_10,LR,0.6083333333333333,0.5833333333333334
YALE,aal,node_based,degree,mi_10,DT,0.45555555555555555,0.5833333333333334
YALE,aal,node_based,degree,mi_10,RF,0.6055555555555555,0.5833333333333334
YALE,aal,node_based,degree,mi_10,XGB,0.6055555555555555,0.5833333333333334
YALE,aal,node_based,degree,mi_10,LGBM,0.5444444444444445,0.4166666666666667
YALE,aal,node_based,degree,mi_10,SVM,0.5666666666666667,0.5833333333333334
YALE,aal,node_based,degree,mi_10,MLP,0.5916666666666666,0.6666666666666666
YALE,aal,node_based,degree,pca_10,LR,0.45,0.5
YALE,aal,node_based,degree,pca_10,DT,0.5444444444444445,0.4166666666666667
YALE,aal,node_based,degree,pca_10,RF,0.40555555555555556,0.4166666666666667
YALE,aal,node_based,degree,pca_10,XGB,0.3194444444444445,0.25
YALE,aal,node_based,degree,pca_10,LGBM,0.5444444444444445,0.5
YALE,aal,node_based,degree,pca_10,SVM,0.4305555555555555,0.3333333333333333
YALE,aal,node_based,degree,pca_10,MLP,0.538888888888889,0.4166666666666667
YALE,aal,edge_based,average_degree,original,LR,0.475,0.3333333333333333
YALE,aal,edge_based,average_degree,original,DT,0.5222222222222223,0.5
YALE,aal,edge_based,average_degree,original,RF,0.525,0.5833333333333334
YALE,aal,edge_based,average_degree,original,XGB,0.5,0.6666666666666666
